#Elapsed Time (secs),Bytes Received,Requests Serviced, Requests Failed, Comment
   0.00487,       1024,          0,          0, (null)
   0.00526,       2048,          0,          0, (null)
   0.00705,       6144,          0,          0, (null)
   0.00718,      10240,          0,          0, (null)
   0.00720,      14336,          0,          0, (null)
   0.00721,      18432,          0,          0, (null)
   0.00722,      22528,          0,          0, (null)
   0.00723,      25600,          0,          0, (null)
   0.02738,      29696,          0,          0, (null)
   0.02740,      33792,          0,          0, (null)
   0.02741,      37888,          0,          0, (null)
   0.02742,      41984,          0,          0, (null)
   0.02743,      46080,          0,          0, (null)
   0.02744,      50176,          0,          0, (null)
   0.02745,      54272,          0,          0, (null)
   0.02746,      58368,          0,          0, (null)
   0.02746,      62464,          0,          0, (null)
   0.02747,      66560,          0,          0, (null)
   0.02748,      70656,          0,          0, (null)
   0.02749,      74752,          0,          0, (null)
   0.02750,      78848,          0,          0, (null)
   0.02750,      82944,          0,          0, (null)
   0.02751,      87040,          0,          0, (null)
   0.02752,      91136,          0,          0, (null)
   0.06430,      95232,          0,          0, (null)
   0.06432,      99328,          0,          0, (null)
   0.06433,     103424,          0,          0, (null)
   0.06434,     107520,          0,          0, (null)
   0.06435,     111616,          0,          0, (null)
   0.06436,     115712,          0,          0, (null)
   0.06436,     119808,          0,          0, (null)
   0.06437,     123904,          0,          0, (null)
   0.06438,     128000,          0,          0, (null)
   0.06439,     132096,          0,          0, (null)
   0.06440,     136192,          0,          0, (null)
   0.06441,     138177,          0,          0, (null)
   0.06829,     138177,          1,          0, /courses/ud923/filecorpus/road.jpg
   8.37565,     138177,          1,          1, /courses/ud923/filecorpus/yellowstone.jpg
