#Elapsed Time (secs),Bytes Received,Requests Serviced, Requests Failed, Comment
   0.01422,       1024,          0,          0, (null)
   0.03741,       2048,          0,          0, (null)
   0.05813,       3072,          0,          0, (null)
   0.08617,       4096,          0,          0, (null)
   0.10079,       5120,          0,          0, (null)
   0.11819,       6144,          0,          0, (null)
   0.12216,       7168,          0,          0, (null)
   0.12225,       8192,          0,          0, (null)
   0.12234,       9216,          0,          0, (null)
   0.12243,      10240,          0,          0, (null)
   0.12251,      11264,          0,          0, (null)
   0.12260,      12288,          0,          0, (null)
   0.13255,      13312,          0,          0, (null)
   0.13266,      14336,          0,          0, (null)
   0.13283,      15360,          0,          0, (null)
   0.13299,      16384,          0,          0, (null)
   0.13315,      17408,          0,          0, (null)
   0.13331,      18432,          0,          0, (null)
   0.13359,      20480,          0,          0, (null)
   0.13406,      21504,          0,          0, (null)
   0.13441,      23552,          0,          0, (null)
   0.13472,      25600,          0,          0, (null)
   0.13505,      27648,          0,          0, (null)
   0.13532,      29696,          0,          0, (null)
   0.13555,      31744,          0,          0, (null)
   0.13568,      32768,          0,          0, (null)
   0.13580,      33792,          0,          0, (null)
   0.13593,      34816,          0,          0, (null)
   0.13607,      35840,          0,          0, (null)
   0.13620,      36864,          0,          0, (null)
   0.13632,      37888,          0,          0, (null)
   0.13645,      38912,          0,          0, (null)
   0.13947,      43008,          0,          0, (null)
   0.13960,      45056,          0,          0, (null)
   0.13971,      47104,          0,          0, (null)
   0.13982,      49152,          0,          0, (null)
   0.13992,      51200,          0,          0, (null)
   0.14003,      53248,          0,          0, (null)
   0.14014,      55296,          0,          0, (null)
   0.14024,      57344,          0,          0, (null)
   0.14035,      59392,          0,          0, (null)
   0.14046,      61440,          0,          0, (null)
   0.14056,      63488,          0,          0, (null)
   0.14067,      65536,          0,          0, (null)
   0.14076,      66560,          0,          0, (null)
   0.14091,      68608,          0,          0, (null)
   0.14101,      70656,          0,          0, (null)
   0.14112,      72704,          0,          0, (null)
   0.14122,      74752,          0,          0, (null)
   0.14133,      76800,          0,          0, (null)
   0.14143,      78848,          0,          0, (null)
   0.14154,      80896,          0,          0, (null)
   0.14164,      82944,          0,          0, (null)
   0.14175,      84992,          0,          0, (null)
   0.14186,      87040,          0,          0, (null)
   0.14196,      88064,          0,          0, (null)
   0.14218,      89088,          0,          0, (null)
   0.14225,      90112,          0,          0, (null)
   0.14618,      91136,          0,          0, (null)
   0.14628,      92160,          0,          0, (null)
   0.14641,      93184,          0,          0, (null)
   0.14653,      94208,          0,          0, (null)
